"cbo_familia";"mediana_rendimento_base";"mediana_salario_hora_base";"vinculos_base";"referencia";"mediana_rendimento_recente";"mediana_salario_hora_recente";"vinculos_recente";"nome_cbo_familia";"variacao_rendimento";"variacao_vinculos"
"1114";"8993,49626577214";"58,43938874685361";"445";"2021";"5517,21066733578";"34,94652137640042";"364";"Dirigentes do serviço público";"-0,3865332786834604351";"-0,182022471910112338"
"1210";"18783,70032498258";"118,55251111574384";"234";"2021";"13828,16174354992";"87,75732224538115";"236";"Diretores gerais";"-0,2638212117791149947";"0,008547008547008517"
"1231";"9532,30554496897";"57,85898890989642";"576";"2021";"8334,02927298396";"49,61196300947124";"598";"Diretores administrativos e financeiros";"-0,1257068676966031084";"0,038194444444444420"
"1233";"21351,37662305992";"129,20567629106668";"139";"2021";"12785,99729463781";"79,12088720525938";"148";"Diretores de comercialização e marketing";"-0,4011628608139173879";"0,064748201438848962"
"1311";"12406,96851690446";"78,29996637581010";"248";"2021";"10823,04026865343";"68,79438119901339";"263";"Diretores e gerentes de operações em empresa de serviços pessoais, sociais e culturais";"-0,1276644045717483245";"0,060483870967741993"
"1312";"9501,20477244588";"68,00534231045344";"502";"2021";"9479,72331569294";"65,72378756481072";"482";"Gestores e especialistas de operações em empresas, secretarias e unidades de serviços de saúde";"-0,0022609192483914464";"-0,039840637450199168"
"1313";"6776,51018980741";"39,60719777582415";"390";"2021";"6274,98706237137";"36,20876036082856";"427";"Diretores e gerentes de instituição de serviços educacionais";"-0,0740090567841813485";"0,094871794871794979"
"1412";"3081,99371891224";"17,80276581842967";"489";"2021";"2829,29816168535";"16,36002456245899";"571";"Gerentes de produção e operações em empresa da indústria extrativa, de transformação e de serviços de utilidade pública";"-0,0819909384228333371";"0,167689161554192223"
"1414";"3031,16484441553";"17,51587754407416";"3012";"2021";"2814,88485564412";"16,32766330897566";"3105";"Gerentes de operações comerciais e de assistência técnica";"-0,0713521038520473772";"0,030876494023904355"
"1415";"2521,99413724258";"14,83563818202473";"1445";"2021";"2416,79652830454";"14,10926636100622";"1597";"Gerentes de operações de serviços em empresa de turismo, de alojamento e alimentação";"-0,0417120751331534478";"0,105190311418685178"
