"ano";"tipo";"salario_hora";"salario_mes";"filtro";"geral"
"2012";"Analfabeto";"8,91730056473336";"1557,00897431641";"Não técnico";"Subgrupo"
"2013";"Analfabeto";"9,08302197723252";"1586,47301051192";"Não técnico";"Subgrupo"
"2014";"Analfabeto";"8,85626314418111";"1546,91957430408";"Não técnico";"Subgrupo"
"2015";"Analfabeto";"8,75954438416978";"1529,88478155203";"Não técnico";"Subgrupo"
"2016";"Analfabeto";"9,10687419390752";"1598,03318944154";"Não técnico";"Subgrupo"
"2017";"Analfabeto";"9,76651252079287";"1704,19100960923";"Não técnico";"Subgrupo"
"2018";"Analfabeto";"9,40462240571959";"1635,84341048344";"Não técnico";"Subgrupo"
"2019";"Analfabeto";"9,88824334665385";"1713,85534281177";"Não técnico";"Subgrupo"
"2020";"Analfabeto";"9,79508175330000";"1682,55179349969";"Não técnico";"Subgrupo"
"2021";"Analfabeto";"9,24571218722039";"1595,25921783437";"Não técnico";"Subgrupo"
"2012";"Fundamental completo e incompleto";"9,42607245680736";"1649,52117965358";"Não técnico";"Subgrupo"
"2013";"Fundamental completo e incompleto";"10,02319278792251";"1740,67597647996";"Não técnico";"Subgrupo"
"2014";"Fundamental completo e incompleto";"10,18001989856607";"1766,18768936381";"Não técnico";"Subgrupo"
"2015";"Fundamental completo e incompleto";"9,98714209849492";"1732,30137391937";"Não técnico";"Subgrupo"
"2016";"Fundamental completo e incompleto";"10,24214604552225";"1774,05079148399";"Não técnico";"Subgrupo"
"2017";"Fundamental completo e incompleto";"10,48164453423123";"1814,64777504044";"Não técnico";"Subgrupo"
"2018";"Fundamental completo e incompleto";"10,23421604743628";"1771,86005815298";"Não técnico";"Subgrupo"
"2019";"Fundamental completo e incompleto";"10,38843833346532";"1794,86621835448";"Não técnico";"Subgrupo"
"2020";"Fundamental completo e incompleto";"10,39562838690836";"1786,37963371020";"Não técnico";"Subgrupo"
"2021";"Fundamental completo e incompleto";"9,99296294947181";"1722,34780416710";"Não técnico";"Subgrupo"
"2012";"Médio completo e incompleto";"10,03471056254738";"1719,94815131250";"Não técnico";"Subgrupo"
"2013";"Médio completo e incompleto";"10,50608171225999";"1803,03154383834";"Não técnico";"Subgrupo"
"2014";"Médio completo e incompleto";"10,66943829797421";"1829,23239661457";"Não técnico";"Subgrupo"
"2015";"Médio completo e incompleto";"10,43607860365660";"1774,36106346934";"Não técnico";"Subgrupo"
"2016";"Médio completo e incompleto";"10,77449476125462";"1842,38222460943";"Não técnico";"Subgrupo"
"2017";"Médio completo e incompleto";"10,89646926885940";"1854,17845727392";"Não técnico";"Subgrupo"
"2018";"Médio completo e incompleto";"10,70802563956673";"1822,12599132699";"Não técnico";"Subgrupo"
"2019";"Médio completo e incompleto";"10,64273960486543";"1814,21787569522";"Não técnico";"Subgrupo"
"2020";"Médio completo e incompleto";"10,41244211018133";"1753,66579873161";"Não técnico";"Subgrupo"
