"tipo";"filtro";"anodeclarado";"n_trabalhadores";"admitidos";"desligados";"rotatividade"
"Analfabeto";"Não técnico";"2011";"1729";"1371";"953";"1,344129554655870"
"Analfabeto";"Não técnico";"2012";"1890";"1394";"958";"1,244444444444444"
"Analfabeto";"Não técnico";"2013";"1837";"1187";"973";"1,175830157866086"
"Analfabeto";"Não técnico";"2014";"1611";"1006";"911";"1,189944134078212"
"Analfabeto";"Não técnico";"2015";"1735";"597";"642";"0,714121037463977"
"Analfabeto";"Não técnico";"2016";"1357";"361";"448";"0,596168017686072"
"Analfabeto";"Não técnico";"2017";"1267";"385";"354";"0,583267561168114"
"Analfabeto";"Não técnico";"2018";"1193";"427";"433";"0,720871751886002"
"Analfabeto";"Não técnico";"2019";"1208";"440";"438";"0,726821192052980"
"Analfabeto";"Não técnico";"2020";"1183";"453";"390";"0,712595097210482"
"Analfabeto";"Não técnico";"2021";"1278";"638";"381";"0,797339593114241"
"Fundamental completo e incompleto";"Não técnico";"2011";"210892";"132382";"96136";"1,083578324450430"
"Fundamental completo e incompleto";"Não técnico";"2012";"207074";"130028";"97633";"1,099418565343790"
"Fundamental completo e incompleto";"Não técnico";"2013";"199208";"126958";"100328";"1,140948154692583"
"Fundamental completo e incompleto";"Não técnico";"2014";"182579";"114938";"96179";"1,156304941970325"
"Fundamental completo e incompleto";"Não técnico";"2015";"163225";"75750";"74222";"0,918805330065860"
"Fundamental completo e incompleto";"Não técnico";"2016";"144742";"54531";"59580";"0,788375177902751"
"Fundamental completo e incompleto";"Não técnico";"2017";"136590";"46281";"43532";"0,657537154989384"
"Fundamental completo e incompleto";"Não técnico";"2018";"130715";"52402";"45927";"0,752239605248059"
"Fundamental completo e incompleto";"Não técnico";"2019";"122656";"50005";"45242";"0,776537633707279"
"Fundamental completo e incompleto";"Não técnico";"2020";"114417";"43631";"42911";"0,756373615808840"
"Fundamental completo e incompleto";"Não técnico";"2021";"115300";"53732";"37120";"0,787961838681700"
"Média dos trabalhadores não técnicos";"Não técnico";"2011";"671584";"313618";"209720";"0,779259184256921"
"Média dos trabalhadores não técnicos";"Não técnico";"2012";"695223";"316851";"212525";"0,761447765680940"
"Média dos trabalhadores não técnicos";"Não técnico";"2013";"730997";"335400";"231357";"0,775320555351116"
"Média dos trabalhadores não técnicos";"Não técnico";"2014";"729446";"330307";"237842";"0,778877394625510"
"Média dos trabalhadores não técnicos";"Não técnico";"2015";"708455";"258080";"207545";"0,657240050532497"
"Média dos trabalhadores não técnicos";"Não técnico";"2016";"674699";"203754";"182660";"0,572720576138397"
"Média dos trabalhadores não técnicos";"Não técnico";"2017";"668232";"203519";"159223";"0,542838415400639"
"Média dos trabalhadores não técnicos";"Não técnico";"2018";"666025";"221707";"163449";"0,578290604707031"
"Média dos trabalhadores não técnicos";"Não técnico";"2019";"681207";"231795";"168981";"0,588332180967019"
