"cboocupacao2002";"cnae_classe";"cnae_divisao";"cnae_grupo";"nome_cbo_ocupacao";"nome_cnae_classe";"setor_ibge";"vinculos"
"122610";"11224";"11";"112";"Diretor de operações de serviços de armazenamento";"Fabricação de refrigerantes e de outras bebidas não-alcoólicas";"1 - Indústria";"1"
"122610";"81125";"81";"811";"Diretor de operações de serviços de armazenamento";"Condomínios prediais";"4 - Serviços";"1"
"123305";"11224";"11";"112";"Diretor comercial";"Fabricação de refrigerantes e de outras bebidas não-alcoólicas";"1 - Indústria";"1"
"123305";"21211";"21";"212";"Diretor comercial";"Fabricação de medicamentos para uso humano";"1 - Indústria";"1"
"123305";"23206";"23";"232";"Diretor comercial";"Fabricação de cimento";"1 - Indústria";"1"
"123305";"41107";"41";"411";"Diretor comercial";"Incorporação de empreendimentos imobiliários";"4 - Serviços";"1"
"123305";"41204";"41";"412";"Diretor comercial";"Construção de edifícios";"2 - Construção Civil";"1"
"123305";"43291";"43";"432";"Diretor comercial";"Obras de instalações em construções não especificadas anteriormente";"2 - Construção Civil";"2"
"123305";"45111";"45";"451";"Diretor comercial";"Comércio a varejo e por atacado de veículos automotores";"3 - Comércio";"1"
"123305";"46371";"46";"463";"Diretor comercial";"Comércio atacadista especializado em produtos alimentícios não especificados anteriormente";"3 - Comércio";"2"
"123305";"46443";"46";"464";"Diretor comercial";"Comércio atacadista de produtos farmacêuticos para uso humano e veterinário";"3 - Comércio";"4"
"123305";"46516";"46";"465";"Diretor comercial";"Comércio atacadista de computadores, periféricos e suprimentos de informática";"3 - Comércio";"1"
"123305";"47423";"47";"474";"Diretor comercial";"Comércio varejista de material elétrico";"3 - Comércio";"1"
"123305";"47440";"47";"474";"Diretor comercial";"Comércio varejista de ferragens, madeira e materiais de construção";"3 - Comércio";"2"
"123305";"47725";"47";"477";"Diretor comercial";"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal";"3 - Comércio";"1"
"123305";"56112";"56";"561";"Diretor comercial";"Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"4 - Serviços";"1"
"123305";"61205";"61";"612";"Diretor comercial";"Telecomunicações sem fio";"4 - Serviços";"5"
"123305";"61906";"61";"619";"Diretor comercial";"Outras atividades de telecomunicações";"4 - Serviços";"1"
"123305";"62015";"62";"620";"Diretor comercial";"Desenvolvimento de programas de computador sob encomenda";"4 - Serviços";"3"
"123305";"62023";"62";"620";"Diretor comercial";"Desenvolvimento e licenciamento de programas de computador customizáveis";"4 - Serviços";"1"
"123305";"62031";"62";"620";"Diretor comercial";"Desenvolvimento e licenciamento de programas de computador não-customizáveis";"4 - Serviços";"1"
"123305";"62091";"62";"620";"Diretor comercial";"Suporte técnico, manutenção e outros serviços em tecnologia da informação";"4 - Serviços";"1"
"123305";"63119";"63";"631";"Diretor comercial";"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet";"4 - Serviços";"1"
"123305";"63194";"63";"631";"Diretor comercial";"Portais, provedores de conteúdo e outros serviços de informação na internet";"4 - Serviços";"1"
"123305";"64247";"64";"642";"Diretor comercial";"Crédito cooperativo";"4 - Serviços";"2"
"123305";"64361";"64";"643";"Diretor comercial";"Sociedades de crédito, financiamento e investimento - financeiras";"4 - Serviços";"1"
"123305";"64638";"64";"646";"Diretor comercial";"Outras sociedades de participação, exceto holdings";"4 - Serviços";"1"
"123305";"65111";"65";"651";"Diretor comercial";"Seguros de vida";"4 - Serviços";"2"
"123305";"65120";"65";"651";"Diretor comercial";"Seguros não-vida";"4 - Serviços";"1"
"123305";"65413";"65";"654";"Diretor comercial";"Previdência complementar fechada";"4 - Serviços";"2"
"123305";"66134";"66";"661";"Diretor comercial";"Administração de cartões de crédito";"4 - Serviços";"1"
"123305";"66223";"66";"662";"Diretor comercial";"Corretores e agentes de seguros, de planos de previdência complementar e de saúde";"4 - Serviços";"4"
"123305";"66291";"66";"662";"Diretor comercial";"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente";"4 - Serviços";"2"
"123305";"70204";"70";"702";"Diretor comercial";"Atividades de consultoria em gestão empresarial";"4 - Serviços";"2"
"123305";"71120";"71";"711";"Diretor comercial";"Serviços de engenharia";"4 - Serviços";"1"
"123305";"74901";"74";"749";"Diretor comercial";"Atividades profissionais, científicas e técnicas não especificadas anteriormente";"4 - Serviços";"1"
"123305";"79112";"79";"791";"Diretor comercial";"Agências de viagens";"4 - Serviços";"1"
"123305";"80111";"80";"801";"Diretor comercial";"Atividades de vigilância e segurança privada";"4 - Serviços";"1"
"123305";"80200";"80";"802";"Diretor comercial";"Atividades de monitoramento de sistemas de segurança";"4 - Serviços";"1"
"123305";"81214";"81";"812";"Diretor comercial";"Limpeza em prédios e em domicílios";"4 - Serviços";"1"
"123305";"82113";"82";"821";"Diretor comercial";"Serviços combinados de escritório e apoio administrativo";"4 - Serviços";"2"
"123305";"82202";"82";"822";"Diretor comercial";"Atividades de teleatendimento";"4 - Serviços";"24"
"123305";"82997";"82";"829";"Diretor comercial";"Atividades de serviços prestados principalmente às empresas não especificadas anteriormente";"4 - Serviços";"1"
"123305";"84221";"84";"842";"Diretor comercial";"Defesa";"4 - Serviços";"1"
"123305";"85139";"85";"851";"Diretor comercial";"Ensino fundamental";"4 - Serviços";"1"
"123305";"85996";"85";"859";"Diretor comercial";"Atividades de ensino não especificadas anteriormente";"4 - Serviços";"2"
"123305";"86101";"86";"861";"Diretor comercial";"Atividades de atendimento hospitalar";"4 - Serviços";"2"
"123305";"86305";"86";"863";"Diretor comercial";"Atividades de atenção ambulatorial executadas por médicos e odontólogos";"4 - Serviços";"1"
"123305";"94308";"94";"943";"Diretor comercial";"Atividades de associações de defesa de direitos sociais";"4 - Serviços";"2"
"123405";"46737";"46";"467";"Diretor de suprimentos";"Comércio atacadista de material elétrico";"3 - Comércio";"1"
"123405";"85996";"85";"859";"Diretor de suprimentos";"Atividades de ensino não especificadas anteriormente";"4 - Serviços";"2"
"123405";"86101";"86";"861";"Diretor de suprimentos";"Atividades de atendimento hospitalar";"4 - Serviços";"2"
"123405";"86500";"86";"865";"Diretor de suprimentos";"Atividades de profissionais da área de saúde, exceto médicos e odontólogos";"4 - Serviços";"1"
"131105";"47610";"47";"476";"Diretor de serviços culturais";"Comércio varejista de livros, jornais, revistas e papelaria";"3 - Comércio";"1"
"131105";"84116";"84";"841";"Diretor de serviços culturais";"Administração pública em geral";"4 - Serviços";"8"
"131105";"85317";"85";"853";"Diretor de serviços culturais";"Educação superior - graduação";"4 - Serviços";"1"
"131105";"85996";"85";"859";"Diretor de serviços culturais";"Atividades de ensino não especificadas anteriormente";"4 - Serviços";"2"
"131105";"87301";"87";"873";"Diretor de serviços culturais";"Atividades de assistência social prestadas em residências coletivas e particulares";"4 - Serviços";"1"
"131105";"88006";"88";"880";"Diretor de serviços culturais";"Serviços de assistência social sem alojamento";"4 - Serviços";"3"
"131105";"94111";"94";"941";"Diretor de serviços culturais";"Atividades de organizações associativas patronais e empresariais";"4 - Serviços";"4"
"131105";"94120";"94";"941";"Diretor de serviços culturais";"Atividades de organizações associativas profissionais";"4 - Serviços";"1"
"131105";"94201";"94";"942";"Diretor de serviços culturais";"Atividades de organizações sindicais";"4 - Serviços";"1"
"131105";"94308";"94";"943";"Diretor de serviços culturais";"Atividades de associações de defesa de direitos sociais";"4 - Serviços";"7"
"131105";"94910";"94";"949";"Diretor de serviços culturais";"Atividades de organizações religiosas";"4 - Serviços";"2"
"131105";"94936";"94";"949";"Diretor de serviços culturais";"Atividades de organizações associativas ligadas à cultura e à arte";"4 - Serviços";"1"
"131105";"94995";"94";"949";"Diretor de serviços culturais";"Atividades associativas não especificadas anteriormente";"4 - Serviços";"1"
"131110";"85139";"85";"851";"Diretor de serviços sociais";"Ensino fundamental";"4 - Serviços";"1"
"131110";"94308";"94";"943";"Diretor de serviços sociais";"Atividades de associações de defesa de direitos sociais";"4 - Serviços";"7"
"131110";"94995";"94";"949";"Diretor de serviços sociais";"Atividades associativas não especificadas anteriormente";"4 - Serviços";"1"
"131115";"46427";"46";"464";"Gerente de serviços culturais";"Comércio atacadista de artigos do vestuário e acessórios";"3 - Comércio";"1"
"131115";"47296";"47";"472";"Gerente de serviços culturais";"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";"3 - Comércio";"1"
"131115";"70204";"70";"702";"Gerente de serviços culturais";"Atividades de consultoria em gestão empresarial";"4 - Serviços";"5"
