"cnae20subclasse";"nome_cnae_subclasse";"nome_cbo_familia";"cbo_familia";"cbo_subgrupo_principal";"cbo_subgrupo";"nome_cbo_grandegrupo";"vinculos"
"1011201";"Frigorífico - abate de bovinos";"Agentes, assistentes e auxiliares administrativos";"4110";"41";"411";"4 - TRABALHADORES DE SERVIÇOS ADMINISTRATIVOS";"3"
"1011201";"Frigorífico - abate de bovinos";"Apontadores e conferentes";"4142";"41";"414";"4 - TRABALHADORES DE SERVIÇOS ADMINISTRATIVOS";"1"
"1011201";"Frigorífico - abate de bovinos";"Gerentes administrativos, financeiros, de riscos e afins";"1421";"14";"142";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE
ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"1"
"1011201";"Frigorífico - abate de bovinos";"Mecânicos de manutenção de máquinas industriais";"9113";"91";"911";"9 - TRABALHADORES EM SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO";"3"
"1011201";"Frigorífico - abate de bovinos";"Trabalhadores de soldagem e corte de ligas metálicas";"7243";"72";"724";"7 - TRABALHADORES DA PRODUÇÃO DE BENS E SERVIÇOS INDUSTRIAIS";"1"
"1011201";"Frigorífico - abate de bovinos";"Técnicos de controle da produção";"3912";"39";"391";"3 - TÉCNICOS DE NIVEL MÉDIO";"1"
"1011201";"Frigorífico - abate de bovinos";"Técnicos em segurança do trabalho";"3516";"35";"351";"3 - TÉCNICOS DE NIVEL MÉDIO";"1"
"1011201";"Frigorífico - abate de bovinos";"Técnicos mecânicos na manutenção de máquinas, sistemas e instrumentos";"3144";"31";"314";"3 - TÉCNICOS DE NIVEL MÉDIO";"1"
"1012101";"Abate de aves";"Administradores";"2521";"25";"252";"2 - PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"2"
"1012101";"Abate de aves";"Agentes  fiscais metrológicos e de qualidade";"3523";"35";"352";"3 - TÉCNICOS DE NIVEL MÉDIO";"4"
"1012101";"Abate de aves";"Agentes, assistentes e auxiliares administrativos";"4110";"41";"411";"4 - TRABALHADORES DE SERVIÇOS ADMINISTRATIVOS";"3"
"1012101";"Abate de aves";"Analistas de tecnologia da informação";"2124";"21";"212";"2 - PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"1"
"1012101";"Abate de aves";"Bombeiros, salva-vidas e afins";"5171";"51";"517";"5 - TRABALHADORES DOS SERVIÇOS, VENDEDORES DO COMÉRCIO
EM LOJAS E MERCADOS";"6"
"1012101";"Abate de aves";"Compradores";"3542";"35";"354";"3 - TÉCNICOS DE NIVEL MÉDIO";"1"
"1012101";"Abate de aves";"Cozinheiros";"5132";"51";"513";"5 - TRABALHADORES DOS SERVIÇOS, VENDEDORES DO COMÉRCIO
EM LOJAS E MERCADOS";"3"
"1012101";"Abate de aves";"Especialistas em logística de transportes";"3421";"34";"342";"3 - TÉCNICOS DE NIVEL MÉDIO";"12"
"1012101";"Abate de aves";"Gerentes administrativos, financeiros, de riscos e afins";"1421";"14";"142";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE
ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"2"
"1012101";"Abate de aves";"Gerentes de operações comerciais e de assistência técnica";"1414";"14";"141";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE
ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"1"
"1012101";"Abate de aves";"Gerentes de produção e operações em empresa agropecuária, pesqueira, aqüícola e florestal";"1411";"14";"141";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE
ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"1"
"1012101";"Abate de aves";"Mecânicos de manutenção de máquinas industriais";"9113";"91";"911";"9 - TRABALHADORES EM SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO";"19"
"1012101";"Abate de aves";"Planejadores, programadores e controladores de produção e manutenção";"3911";"39";"391";"3 - TÉCNICOS DE NIVEL MÉDIO";"5"
"1012101";"Abate de aves";"Profissionais de recursos humanos";"2524";"25";"252";"2 - PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES";"9"
"1012101";"Abate de aves";"Trabalhadores nos  serviços de manutenção de edificações";"5143";"51";"514";"5 - TRABALHADORES DOS SERVIÇOS, VENDEDORES DO COMÉRCIO
EM LOJAS E MERCADOS";"16"
"1012101";"Abate de aves";"Técnicos agrícolas";"3211";"32";"321";"3 - TÉCNICOS DE NIVEL MÉDIO";"20"
"1012101";"Abate de aves";"Técnicos de controle da produção";"3912";"39";"391";"3 - TÉCNICOS DE NIVEL MÉDIO";"116"
"1012101";"Abate de aves";"Técnicos e auxiliares de enfermagem";"3222";"32";"322";"3 - TÉCNICOS DE NIVEL MÉDIO";"3"
"1012101";"Abate de aves";"Técnicos em eletricidade e eletrotécnica";"3131";"31";"313";"3 - TÉCNICOS DE NIVEL MÉDIO";"18"
"1012101";"Abate de aves";"Técnicos em eletromecânica";"3003";"30";"300";"3 - TÉCNICOS DE NIVEL MÉDIO";"10"
"1012101";"Abate de aves";"Técnicos em segurança do trabalho";"3516";"35";"351";"3 - TÉCNICOS DE NIVEL MÉDIO";"7"
"1012101";"Abate de aves";"Técnicos em transportes rodoviários";"3423";"34";"342";"3 - TÉCNICOS DE NIVEL MÉDIO";"1"
"1012101";"Abate de aves";"Técnicos mecânicos na fabricação e montagem de máquinas, sistemas e instrumentos";"3141";"31";"314";"3 - TÉCNICOS DE NIVEL MÉDIO";"4"
"1012102";"Abate de pequenos animais";"Agentes, assistentes e auxiliares administrativos";"4110";"41";"411";"4 - TRABALHADORES DE SERVIÇOS ADMINISTRATIVOS";"1"
"1012103";"Frigorífico - abate de suínos";"Agentes, assistentes e auxiliares administrativos";"4110";"41";"411";"4 - TRABALHADORES DE SERVIÇOS ADMINISTRATIVOS";"4"
