"cboocupacao2002";"nome_cbo_ocupacao";"mediana_vinculos";"mediana_rendimentos";"vinculos_ultimo_ano";"media_rendimento_ultimo_ano";"media_salario_hora_ultimo_ano";"vinculos_primeiro_ano";"media_rendimento_primeiro_ano";"media_salario_hora_primeiro_ano";"variacao_rendimentos";"variacao_vinculos";"cbo";"codigo_cbo"
"111220";"Secretário - executivo";"1,5";"5324,222600139427";"16";"4791,273783125314";"28,43775094513922";"1";"3980,880678680877";"33,17400565567398";"-1,00098898381926e-01";"9,66666666666666607";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"11"
"111405";"Dirigente do serviço público federal";"437,5";"11517,509938249637";"340";"10274,959916749907";"64,46068074572011";"225";"10808,980298283230";"66,56175894748044";"-1,07883564082999e-01";"-0,22285714285714286";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"11"
"111410";"Dirigente do serviço público estadual e distrital";"3,0";"9833,292847097915";"1";"9198,732532998432";"52,26552575567291";"4";"12975,503163347465";"79,48658526595308";"-6,45318230593285e-02";"-0,66666666666666674";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"11"
"111415";"Dirigente do serviço público municipal";"17,5";"8722,195944430281";"10";"10716,949248621664";"65,40423249474628";"25";"7880,559007114485";"50,74708075721845";"2,28698520063078e-01";"-0,42857142857142860";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"11"
"111505";"Especialista de políticas públicas e gestão governamental - eppgg";"14,5";"14201,073611319302";"48";"7048,082878545723";"41,53178792202866";"27";"23844,613061673201";"142,53432252922855";"-5,03693659264756e-01";"2,31034482758620685";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"11"
"111510";"Analista de planejamento e orçamento - apo";"19,5";"9862,928648336781";"37";"9164,506214620471";"58,29576307582971";"16";"10561,351082053092";"95,65461826800325";"-7,08128851600369e-02";"0,89743589743589736";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"11"
"113010";"Líder de comunidade caiçara";"1,0";"2657,947488270903";"1";"1490,181567340254";"9,31363479587659";"1";"2657,947488270903";"15,10197436517558";"-4,39348755415151e-01";"0,00000000000000000";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"11"
"113015";"Membro de liderança quilombola";"3,0";"1550,525296823063";NA;NA;NA;"5";"1426,276852828530";"8,10384575470756";NA;NA;"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"11"
"114205";"Dirigentes de entidades de trabalhadores";"13,5";"8915,989984375887";"30";"3787,882342662198";"22,08069285203485";"12";"13085,571629416847";"85,78208630589246";"-5,75158524258106e-01";"1,22222222222222232";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"11"
"114210";"Dirigentes de entidades patronais";"1,0";"2769,308298212784";NA;NA;NA;"1";"2769,308298212784";"15,73470623984536";NA;NA;"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"11"
"114305";"Dirigente e administrador de organização religiosa";"11,5";"7567,494135763649";"17";"11377,707025283908";"72,48896882519433";"4";"2407,558747670308";"13,67931106630856";"5,03497303223977e-01";"0,47826086956521729";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"11"
"114405";"Dirigente e administrador de organização da sociedade civil sem fins lucrativos";"10,5";"35460,952451074903";"13";"28745,579910154654";"177,36713666663246";"14";"39346,238342332836";"237,83582728059798";"-1,89373721706584e-01";"0,23809523809523814";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"11"
"121005";"Diretor de planejamento estratégico";"29,5";"22627,109158205167";"32";"21175,113676472203";"128,63372918834324";"29";"23766,364363523368";"145,09121178497648";"-6,41706137350928e-02";"0,08474576271186440";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"121010";"Diretor geral de empresa e organizações (exceto de interesse público)";"252,0";"33235,153002222782";"190";"26858,706057971285";"164,05627046236057";"311";"34471,044236652109";"208,76640411366870";"-1,91858510289543e-01";"-0,24603174603174605";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"122105";"Diretor de produção e operações em empresa agropecuária";"2,0";"3939,733805203831";"2";"4021,307102032675";"23,50876955156158";"3";"2803,549641441728";"15,92925932637345";"2,07052813367992e-02";"0,00000000000000000";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"122115";"Diretor de produção e operações em empresa florestal";"1,0";"6297,386707595830";"2";"28975,706321157544";"164,63469500657695";"1";"6449,805567421893";"36,64662254216984";"3,60122709094670e+00";"1,00000000000000000";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"122205";"Diretor de produção e operações da indústria de transformação, extração mineral e utilidades";"7,0";"20644,394298845986";"2";"11560,485871296554";"65,68457881418496";"9";"14787,546681404336";"85,01422226085263";"-4,40018161639996e-01";"-0,71428571428571430";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
