"ano";"tipo";"salario_hora";"salario_mes";"filtro";"geral"
"2012";"Técnicos de nível médio";"28,8084624695769";"4834,83117424929";"Técnico";"Subgrupo"
"2012";"Técnicos de nível superior";"85,8433860237436";"14146,61309376364";"Técnico";"Subgrupo"
"2013";"Técnicos de nível médio";"32,5896613947364";"5368,54913402410";"Técnico";"Subgrupo"
"2013";"Técnicos de nível superior";"83,6409067461015";"13676,96362782520";"Técnico";"Subgrupo"
"2014";"Técnicos de nível médio";"29,0271910824058";"4809,03371841908";"Técnico";"Subgrupo"
"2014";"Técnicos de nível superior";"79,3795478681473";"13050,09408068277";"Técnico";"Subgrupo"
"2015";"Técnicos de nível médio";"29,1928169905439";"4833,16452784084";"Técnico";"Subgrupo"
"2015";"Técnicos de nível superior";"74,8467635924037";"12267,75086093082";"Técnico";"Subgrupo"
"2016";"Técnicos de nível médio";"31,4058695409631";"5176,77430394289";"Técnico";"Subgrupo"
"2016";"Técnicos de nível superior";"73,5590616662122";"12042,91415237780";"Técnico";"Subgrupo"
"2017";"Técnicos de nível médio";"28,7347095581952";"4741,54140572366";"Técnico";"Subgrupo"
"2017";"Técnicos de nível superior";"68,4436868732515";"11241,92004421347";"Técnico";"Subgrupo"
"2018";"Técnicos de nível médio";"30,5806573937370";"4892,35199036302";"Técnico";"Subgrupo"
"2018";"Técnicos de nível superior";"70,3680747318925";"11258,59778649437";"Técnico";"Subgrupo"
"2019";"Técnicos de nível médio";"25,8512245446691";"4249,69980511804";"Técnico";"Subgrupo"
"2019";"Técnicos de nível superior";"63,0508728402232";"10299,09425723317";"Técnico";"Subgrupo"
"2020";"Técnicos de nível médio";"27,0018224751475";"4417,20067925875";"Técnico";"Subgrupo"
"2020";"Técnicos de nível superior";"65,1137554640571";"10526,13802921542";"Técnico";"Subgrupo"
"2021";"Técnicos de nível médio";"26,4439394309260";"4266,19891933529";"Técnico";"Subgrupo"
"2021";"Técnicos de nível superior";"60,8219301102685";"9838,59811480483";"Técnico";"Subgrupo"
"2012";"Média dos trabalhadores técnicos";"32,1859629676855";"5386,25732004869";"Técnico";"Geral"
"2013";"Média dos trabalhadores técnicos";"35,9891034080691";"5921,79662289569";"Técnico";"Geral"
"2014";"Média dos trabalhadores técnicos";"32,1376074365944";"5318,10877593255";"Técnico";"Geral"
"2015";"Média dos trabalhadores técnicos";"31,9577837423535";"5283,42974157406";"Técnico";"Geral"
"2016";"Média dos trabalhadores técnicos";"34,0092374712823";"5600,82494839682";"Técnico";"Geral"
"2017";"Média dos trabalhadores técnicos";"31,3149377935891";"5163,92600582826";"Técnico";"Geral"
"2018";"Média dos trabalhadores técnicos";"33,2233920662307";"5315,20674255924";"Técnico";"Geral"
"2019";"Média dos trabalhadores técnicos";"28,4296758618144";"4669,00670202900";"Técnico";"Geral"
"2020";"Média dos trabalhadores técnicos";"29,5701532673600";"4828,87677839956";"Técnico";"Geral"
"2021";"Média dos trabalhadores técnicos";"28,5270647400797";"4603,85698391106";"Técnico";"Geral"
"2012";"Até fundamental completo";"12,5717554938983";"2159,45804344007";"Não técnico";"Subgrupo"
"2012";"Médio completo";"15,5994281376599";"2589,87901051888";"Não técnico";"Subgrupo"
"2012";"Superior completo";"77,4954689955938";"11154,87567027214";"Não técnico";"Subgrupo"
"2013";"Até fundamental completo";"13,4567554837485";"2304,25520246840";"Não técnico";"Subgrupo"
"2013";"Médio completo";"16,1825248743345";"2673,81234930500";"Não técnico";"Subgrupo"
"2013";"Superior completo";"77,1650073131448";"11211,31971946177";"Não técnico";"Subgrupo"
"2014";"Até fundamental completo";"13,4447471207805";"2298,18886609258";"Não técnico";"Subgrupo"
"2014";"Médio completo";"15,9771317749592";"2651,11714719289";"Não técnico";"Subgrupo"
"2014";"Superior completo";"77,3408638197121";"11100,46767583376";"Não técnico";"Subgrupo"
"2015";"Até fundamental completo";"13,0567642622792";"2227,75309456863";"Não técnico";"Subgrupo"
"2015";"Médio completo";"15,2075085122770";"2524,99816191351";"Não técnico";"Subgrupo"
"2015";"Superior completo";"77,2237596527322";"11198,29376435993";"Não técnico";"Subgrupo"
"2016";"Até fundamental completo";"13,4359150752294";"2289,49649801459";"Não técnico";"Subgrupo"
"2016";"Médio completo";"15,5412211857841";"2577,21015288585";"Não técnico";"Subgrupo"
"2016";"Superior completo";"80,0978005314272";"11545,79714079458";"Não técnico";"Subgrupo"
"2017";"Até fundamental completo";"13,5037440622821";"2300,93883894998";"Não técnico";"Subgrupo"
"2017";"Médio completo";"15,3911309864847";"2558,32393343177";"Não técnico";"Subgrupo"
"2017";"Superior completo";"74,1674007581351";"10581,08597731309";"Não técnico";"Subgrupo"
"2018";"Até fundamental completo";"13,2361361791342";"2253,64235313664";"Não técnico";"Subgrupo"
"2018";"Médio completo";"15,0016436384216";"2495,35928903223";"Não técnico";"Subgrupo"
"2018";"Superior completo";"70,3850660013415";"10195,91217320156";"Não técnico";"Subgrupo"
"2019";"Até fundamental completo";"13,0275708757234";"2200,69700442986";"Não técnico";"Subgrupo"
"2019";"Médio completo";"15,7373940940205";"2579,68220212165";"Não técnico";"Subgrupo"
"2019";"Superior completo";"66,4862580881424";"9365,27567177680";"Não técnico";"Subgrupo"
"2020";"Até fundamental completo";"13,2268094223339";"2214,84451697745";"Não técnico";"Subgrupo"
"2020";"Médio completo";"14,8870660074448";"2440,14853787293";"Não técnico";"Subgrupo"
"2020";"Superior completo";"67,6917511746775";"9467,26926680364";"Não técnico";"Subgrupo"
"2021";"Até fundamental completo";"12,5980600999120";"2118,01683613204";"Não técnico";"Subgrupo"
"2021";"Médio completo";"13,8785318768452";"2294,84216984461";"Não técnico";"Subgrupo"
"2021";"Superior completo";"70,1952814023259";"9547,18432055619";"Não técnico";"Subgrupo"
"2012";"Média dos trabalhadores não técnicos";"22,5998635774048";"3553,98332700877";"Não técnico";"Geral"
"2013";"Média dos trabalhadores não técnicos";"24,9705654156499";"3908,57033627735";"Não técnico";"Geral"
"2014";"Média dos trabalhadores não técnicos";"24,8464211312496";"3870,88527281192";"Não técnico";"Geral"
"2015";"Média dos trabalhadores não técnicos";"25,7884484393779";"4005,92107602867";"Não técnico";"Geral"
"2016";"Média dos trabalhadores não técnicos";"27,9629976076688";"4304,33580460330";"Não técnico";"Geral"
"2017";"Média dos trabalhadores não técnicos";"27,0438734444874";"4148,94994938114";"Não técnico";"Geral"
"2018";"Média dos trabalhadores não técnicos";"26,6152516176409";"4111,11974628649";"Não técnico";"Geral"
"2019";"Média dos trabalhadores não técnicos";"25,3877469279393";"3865,82077067704";"Não técnico";"Geral"
"2020";"Média dos trabalhadores não técnicos";"25,7581989270902";"3885,77362099741";"Não técnico";"Geral"
"2021";"Média dos trabalhadores não técnicos";"26,9743978122899";"3978,54135362664";"Não técnico";"Geral"
