	cbo		2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
	214355	Engenheiros eletricistas, eletrônicos (Extinta)	28	29	0	0	0	0	0	0	0	0	0
	223410	Farmacêuticos (Extinta)	114	180	0	0	0	0	0	0	0	0	0
	253105	Profissionais de publicidade (Extinta)	472	496	0	0	0	0	0	0	0	0	0
	261720	Locutor publicitário de rádio e televisão	37	36	38	31	29	25	37	10	3	6	0
	261725	Narrador em programas de rádio e televisão	2	2	1	1	1	0	0	0	0	0	0
	314605	Inspetor de soldagem	2	2	0	3	1	2	0	2	8	2	0
	324210	Técnicos de laboratórios de saúde e bancos de sangue (Extinta)	60	333	346	54	61	61	53	15	6	2	0
141805	342520	Gerente da administração de aeroportos	942	876	814	666	584	582	622	615	18	9	1
	342525	Gerente de empresa aérea em aeroportos	4	5	5	4	6	7	9	6	4	2	0
	352415	Profissionais de direitos autorais e de avaliação de produtos dos meios de comunicação (Extinta)	17	25	0	0	0	0	0	0	0	0	0
	354110	 Técnicos de laboratórios de saúde e bancos de sangue (Extinta)	109	113	119	118	95	46	15	21	1	1	0
	373110	Operador de central de rádio	47	36	20	39	115	44	34	9	5	3	0
	373115	Operador de externa (rádio)	7	13	20	20	26	20	20	11	44	41	41
	373120	Operador de gravação de rádio	11	12	11	10	11	12	9	1	0	4	3
	373125	Operador de transmissor de rádio	37	30	31	28	30	18	22	6	6	5	0
	373205	Técnico em operação de equipamentos de produção para televisão e produtoras de vídeo	657	723	818	818	832	785	750	551	278	234	205
	373210	Técnico em operação de equipamento de exibição de televisão	132	159	181	156	134	137	126	107	57	50	48
	373215	Técnico em operação de equipamentos de transmissão/recepção de televisão	54	62	55	83	71	50	44	24	12	12	12
	422215	Monitor de teleatendimento	630	659	994	937	733	714	668	546	396	309	182
	517315	Agente de segurança penitenciária (Policial Penal)	2971	2890	2770	2783	2671	1814	1458	2096	3486	3442	2140
	517335	Guarda portuário	1	1	11	8	10	8	8	32	26	27	17
