"cboocupacao2002";"nome_cbo_ocupacao";"mediana_vinculos2012_2021";"vinculos_2021";"variacao_vinculos2012_2021"
"141415";"Gerente de loja e supermercado";"1990,5";"2172";"0,09118311981914085"
"142105";"Gerente administrativo";"7279,0";"6266";"-0,13916746805879932"
"142305";"Gerente comercial";"4506,0";"4405";"-0,02241455836662232"
"142320";"Gerente de vendas";"1760,5";"1587";"-0,09855154785572284"
"212405";"Analista de desenvolvimento de sistemas";"6414,0";"7750";"0,20829435609603997"
"212420";"Analista de suporte computacional";"3184,5";"2464";"-0,22625215889464589"
"214205";"Engenheiro civil";"1693,0";"1584";"-0,06438275251033665"
"223405";"Farmacêutico";"2288,0";"3112";"0,36013986013986021"
"223505";"Enfermeiro";"5131,5";"11014";"1,14635096950209503"
"223605";"Fisioterapeuta geral";"1258,0";"2326";"0,84896661367249604"
"225125";"Médico clínico";"2163,0";"8036";"2,71521035598705485"
"231105";"Professor de nível superior na educação infantil (quatro a seis anos)";"1073,0";"1476";"0,37558247903075492"
"231205";"Professor da  educação de jovens e adultos do ensino fundamental (primeira a quarta série)";"2347,5";"1478";"-0,37039403620873268"
"231210";"Professor de nível superior do ensino fundamental (primeira a quarta série)";"1955,0";"2027";"0,03682864450127887"
"239405";"Coordenador pedagógico";"1284,0";"1343";"0,04595015576323980"
"241005";"Advogado";"1874,5";"1910";"0,01893838356895161"
"252105";"Administrador";"6847,0";"7960";"0,16255294289469835"
"252210";"Contador";"2045,5";"2250";"0,09997555609875342"
"252305";"Secretária(o) executiva(o)";"3724,5";"3461";"-0,07074775137602363"
"252405";"Analista de recursos humanos";"1141,5";"1466";"0,28427507665352603"
"313215";"Técnico eletrônico";"1156,0";"989";"-0,14446366782006925"
"313220";"Técnico em manutenção de equipamentos de informática";"1937,5";"2486";"0,28309677419354840"
"317110";"Desenvolvedor de sistemas de tecnologia da informação (técnico)";"1492,0";"1991";"0,33445040214477206"
"317210";"Técnico de suporte ao usuário de tecnologia da informação";"1632,5";"1943";"0,19019908116385920"
"322205";"Técnico de enfermagem";"12371,0";"24341";"0,96758548217605700"
"322415";"Auxiliar em saúde bucal";"1522,5";"1616";"0,06141215106732356"
"324205";"Técnico em patologia clínica";"1416,0";"2714";"0,91666666666666674"
"331110";"Auxiliar de desenvolvimento infantil";"1759,0";"1752";"-0,00397953382603755"
"333110";"Instrutor de cursos livres";"1034,5";"693";"-0,33011116481391978"
"351305";"Técnico em administração";"1120,5";"1231";"0,09861668897813480"
"351505";"Técnico em secretariado";"3104,5";"3823";"0,23143823482042203"
"354125";"Assistente de vendas";"2427,0";"2233";"-0,07993407498969918"
"371410";"Recreador";"1386,5";"1734";"0,25063108546700330"
"410105";"Supervisor administrativo";"6719,5";"7153";"0,06451372870005212"
"411005";"Auxiliar de escritório";"28337,5";"25750";"-0,09131010145566831"
"411010";"Assistente administrativo";"30667,5";"33037";"0,07726420477704421"
"411030";"Auxiliar de pessoal";"1048,5";"1031";"-0,01669051025274204"
"412205";"Contínuo";"5187,0";"2709";"-0,47773279352226716"
"413110";"Auxiliar de contabilidade";"2420,5";"2472";"0,02127659574468077"
"413115";"Auxiliar de faturamento";"1610,5";"1640";"0,01831729276622163"
"413210";"Caixa de banco";"1616,0";"598";"-0,62995049504950495"
"413225";"Escriturário de banco";"24411,0";"25937";"0,06251280160583339"
"414105";"Almoxarife";"5604,0";"5042";"-0,10028551034975020"
"414110";"Armazenista";"1904,0";"2916";"0,53151260504201692"
"414215";"Conferente de carga e descarga";"1634,0";"1864";"0,14075887392900865"
"415205";"Carteiro";"1328,5";"1169";"-0,12006021829130598"
"421105";"Atendente comercial (agência postal)";"3869,5";"2315";"-0,40173148985657059"
"421125";"Operador de caixa";"16336,0";"15523";"-0,04976738491674826"
"422105";"Recepcionista, em geral";"13031,0";"13632";"0,04612078888803617"
"422110";"Recepcionista de consultório médico ou dentário";"2422,0";"2873";"0,18620974401321222"
"422205";"Telefonista";"1154,5";"934";"-0,19099177132957990"
"422305";"Operador de telemarketing ativo";"1107,0";"1318";"0,19060523938572715"
"422310";"Operador de telemarketing ativo e receptivo";"2787,0";"2022";"-0,27448869752421956"
"422315";"Operador de telemarketing receptivo";"3522,0";"1793";"-0,49091425326519023"
"511215";"Cobrador de transportes coletivos (exceto trem)";"4819,5";"4001";"-0,16983089532109141"
"513205";"Cozinheiro geral";"11219,5";"9355";"-0,16618387628682207"
"513315";"Camareiro  de hotel";"1632,5";"1398";"-0,14364471669218992"
"513405";"Garçom";"6341,5";"5167";"-0,18520854687376809"
"513425";"Copeiro";"5520,0";"3882";"-0,29673913043478262"
"513435";"Atendente de lanchonete";"13150,5";"10576";"-0,19577202387741910"
"513505";"Auxiliar nos serviços de alimentação";"5054,0";"7132";"0,41115947764147220"
"514120";"Zelador de edifício";"5193,5";"5253";"0,01145662847790518"
"514215";"Varredor de rua";"3001,5";"2299";"-0,23404964184574384"
"514225";"Trabalhador de serviços de limpeza e conservação de áreas públicas";"12348,5";"9291";"-0,24760092318905125"
"514310";"Auxiliar de manutenção predial";"2030,0";"2434";"0,19901477832512304"
"514320";"Faxineiro";"31535,0";"37036";"0,17444109719359435"
"514325";"Trabalhador da manutenção de edificações";"5230,0";"5270";"0,00764818355640529"
"517110";"Bombeiro civil";"2989,5";"3198";"0,06974410436527845"
"517330";"Vigilante";"22841,5";"22775";"-0,00291136746711029"
"517410";"Porteiro de edifícios";"13452,5";"12776";"-0,05028805054822527"
"517415";"Agente de portaria";"1764,5";"1762";"-0,00141683196372910"
"517420";"Vigia";"3842,5";"3018";"-0,21457384515289524"
"519110";"Motofretista";"3635,0";"2770";"-0,23796423658872079"
"519935";"Lavador de veículos";"1618,0";"1453";"-0,10197775030902345"
"520110";"Supervisor de vendas comercial";"1625,0";"1733";"0,06646153846153857"
"521105";"Vendedor em comércio atacadista";"2740,0";"2263";"-0,17408759124087592"
"521110";"Vendedor de comércio varejista";"30037,5";"26432";"-0,12003329171868493"
"521115";"Promotor de vendas";"3504,0";"3529";"0,00713470319634713"
"521125";"Repositor de mercadorias";"8791,0";"10084";"0,14708224320327612"
"521130";"Atendente de farmácia - balconista";"3230,0";"3310";"0,02476780185758520"
"521135";"Frentista";"3860,0";"3743";"-0,03031088082901556"
"621005";"Trabalhador agropecuário em geral";"1686,0";"1459";"-0,13463819691577694"
"622010";"Jardineiro";"1779,5";"1661";"-0,06659173925259909"
"623305";"Trabalhador da avicultura de corte";"1142,5";"524";"-0,54135667396061271"
"710205";"Mestre (construção civil)";"1815,0";"1634";"-0,09972451790633607"
"715210";"Pedreiro";"4486,5";"4404";"-0,01838849882982285"
"715505";"Carpinteiro";"1165,0";"1322";"0,13476394849785400"
"715615";"Eletricista de instalações";"1494,0";"1433";"-0,04082998661311910"
"716610";"Pintor de obras";"1228,5";"1155";"-0,05982905982905984"
"717020";"Servente de obras";"10086,0";"10493";"0,04035296450525472"
"724110";"Encanador";"1697,5";"1670";"-0,01620029455081007"
"724440";"Serralheiro";"1013,0";"979";"-0,03356367226061208"
"771105";"Marceneiro";"1161,5";"1197";"0,03056392595781321"
"782305";"Motorista de carro de passeio";"6502,5";"5653";"-0,13064206074586693"
"782310";"Motorista de furgão ou veículo similar";"3442,5";"2565";"-0,25490196078431371"
"782405";"Motorista de ônibus rodoviário";"1672,5";"1430";"-0,14499252615844549"
"782410";"Motorista de ônibus urbano";"4656,0";"3470";"-0,25472508591065290"
"782510";"Motorista de caminhão (rotas regionais e internacionais)";"6650,5";"6430";"-0,03315540184948496"
"783210";"Carregador (armazém)";"1013,0";"1206";"0,19052319842053311"
"783225";"Ajudante de motorista";"3742,5";"3536";"-0,05517702070808284"
"784105";"Embalador, a mão";"1608,5";"1363";"-0,15262667081131487"
"784205";"Alimentador de linha de produção";"3185,0";"3873";"0,21601255886970172"
"848305";"Padeiro";"1941,5";"1685";"-0,13211434457893378"
"848310";"Confeiteiro";"1091,0";"981";"-0,10082493125572867"
"848510";"Açougueiro";"2701,0";"2955";"0,09403924472417624"
"914405";"Mecânico de manutenção de automóveis, motocicletas e veículos similares";"2645,0";"2357";"-0,10888468809073726"
"951105";"Eletricista de manutenção eletroeletrônica";"1382,5";"1411";"0,02061482820976490"
"992225";"Auxiliar geral de conservação de vias permanentes (exceto trilhos)";"1809,0";"1066";"-0,41072415699281373"
