"cboocupacao2002";"nome_cbo_ocupacao";"mediana_viculos";"mediana_rendimentos";"vinculos_ultimo_ano";"media_rendimento_ultimo_ano";"media_salario_hora_ultimo_ano";"vinculos_primeiro_ano";"media_rendimento_primeiro_ano";"media_salario_hora_primeiro_ano";"variacao_rendimentos";"variacao_vinculos";"codigo_cbo";"cbo";"tipo_emprego"
"""122610""";"Diretor de operações de serviços de armazenamento";"2,0";"30896,63209434041";"2";"43321.0064409396";"246.142082050793";"2";"21163,67522251780";"120,24815467339674";"0.402127141516991";"0";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""123305""";"Diretor comercial";"116,0";"33367,45169099074";"91";"22260.0425225071";"136.122574136214";"97";"37285,64731966618";"217,97027534752843";"-0.332881553897107";"-0.21551724137931";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""123405""";"Diretor de suprimentos";"4,5";"7574,71908786441";"6";"5030.87453341255";"28.5845143943895";"8";"29992,24371836893";"182,42586723845676";"-0.335833517381179";"0.333333333333333";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""131105""";"Diretor de serviços culturais";"32,0";"24044,53660648320";"33";"34319.4457942637";"233.435803412422";"20";"28937,46499551570";"225,94695738411551";"0.427328226613028";"0.03125";"""13""";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"Geral"
"""131110""";"Diretor de serviços sociais";"8,0";"17798,31416890729";"9";"11252.7626134416";"94.6069836089596";"8";"13483,85730848167";"78,97331514891074";"-0.36776244611416";"0.125";"""13""";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"Geral"
"""131115""";"Gerente de serviços culturais";"73,0";"11188,59610923252";"71";"10946.0595783736";"68.3790781962033";"94";"14619,62365013492";"84,52018317492082";"-0.0216771191390875";"-0.0273972602739726";"""13""";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"Geral"
"""131120""";"Gerente de serviços sociais";"102,0";"21061,80417275356";"122";"20033.958310908";"124.523406117779";"47";"15151,55582753625";"95,07329966016927";"-0.0488014157483837";"0.196078431372549";"""13""";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"Geral"
"""141115""";"Gerente de produção e operações agropecuárias";"7,5";"6964,11045361544";"11";"6698.41812937362";"40.4937218509952";"5";"7229,80277785726";"41,07842487418887";"-0.0381516528222048";"0.466666666666667";"""14""";"GERENTES";"Geral"
"""141305""";"Gerente de produção e operações da construção civil e obras públicas";"62,5";"23091,37637879953";"50";"11446.2439812772";"65.3938666877236";"135";"28323,84827125116";"161,31442325445914";"-0.504306551783284";"-0.2";"""14""";"GERENTES";"Geral"
"""141405""";"Comerciante atacadista";"102,0";"4167,66502108820";"27";"4583.09407381855";"27.7720910898757";"199";"3985,69265587201";"22,68520338202675";"0.099679089041055";"-0.735294117647059";"""14""";"GERENTES";"Geral"
"""141410""";"Comerciante varejista";"508,0";"3387,42205026014";"540";"3350.09469142452";"19.2007549511222";"329";"3211,69869910819";"18,39452042203171";"-0.011019400087082";"0.0629921259842521";"""14""";"GERENTES";"Geral"
"""141505""";"Gerente de hotel";"95,0";"7271,79425707966";"37";"7407.54387378213";"42.1595248876496";"37";"9774,34579249144";"60,45167494096876";"0.0186679672035974";"-0.610526315789474";"""14""";"GERENTES";"Geral"
"""141525""";"Gerente de turismo";"5,0";"6152,59981140398";"3";"6709.48979476399";"38.1221011066136";"3";"3717,40383698004";"21,12161271011383";"0.0905129539431135";"-0.4";"""14""";"GERENTES";"Geral"
"""141615""";"Gerente de logística (armazenagem e distribuição)";"91,5";"10555,29654867418";"92";"10448.5798989853";"60.0571119227782";"53";"10662,01319836306";"61,64764196299304";"-0.01011024647169";"0.00546448087431695";"""14""";"GERENTES";"Geral"
"""141715""";"Gerente de câmbio e comércio exterior";"4,0";"25762,68184862188";"4";"30078.5446867001";"198.560310430969";"1";"49044,95800934970";"278,66453414403202";"0.167523818499861";"0";"""14""";"GERENTES";"Geral"
"""142105""";"Gerente administrativo";"2510,5";"13866,43048528808";"2447";"11225.2825268477";"69.2530440575749";"2347";"16977,00537633009";"103,54982357765752";"-0.190470645004321";"-0.0252937661820355";"""14""";"GERENTES";"Geral"
"""142110""";"Gerente de riscos";"65,0";"12315,79256346166";"102";"11685.1096072827";"77.7575973156473";"32";"9164,61841909656";"53,69403626506067";"-0.0512092870133328";"0.569230769230769";"""14""";"GERENTES";"Geral"
"""142120""";"Tecnólogo em gestão administrativo- financeira";"36,0";"9772,92767912653";"119";"9607.03584410619";"59.4843695198014";"6";"10064,51856055660";"57,18476454861692";"-0.0169746303735228";"2.30555555555556";"""14""";"GERENTES";"Geral"
"""142305""";"Gerente comercial";"855,5";"10036,99645415465";"851";"8710.29855745324";"51.7949318962343";"648";"13183,26274927708";"77,06516198581160";"-0.132180767698911";"-0.00526008182349502";"""14""";"GERENTES";"Geral"
"""142310""";"Gerente de comunicação";"193,0";"16066,11795980476";"202";"15716.6624736757";"97.8187604675415";"139";"17082,62479308883";"104,65134132410881";"-0.0217510843007251";"0.0466321243523315";"""14""";"GERENTES";"Geral"
"""142415""";"Gerente de almoxarifado";"6,5";"6170,53939150879";"2";"7056.9721610524";"41.3444036735856";"7";"5204,14161701030";"29,56898646028580";"0.143655637425057";"-0.692307692307692";"""14""";"GERENTES";"Geral"
"""142535""";"Tecnólogo em gestão da tecnologia da informação";"128,5";"7745,85233342618";"167";"7746.19996175087";"47.1708630401051";"21";"8519,42420037642";"49,28534172543689";"4.48792863241287e-05";"0.299610894941634";"""14""";"GERENTES";"Geral"
"""142705""";"Gerente de projetos e serviços de manutenção";"121,0";"13935,60222440670";"115";"12571.117592647";"74.8843834618311";"79";"13815,78753167350";"80,78803064916916";"-0.0979135748701246";"-0.0495867768595041";"""14""";"GERENTES";"Geral"
"""142710""";"Tecnólogo em sistemas biomédicos";"12,5";"8933,23464927319";"13";"8934.07574129785";"55.2762799024428";"3";"3792,65626812213";"21,54918334160300";"9.41531323963574e-05";"0.04";"""14""";"GERENTES";"Geral"
"""201205""";"Pesquisador em metrologia";"1,0";"3019,15273738542";"null";"null";"null";"1";"1453,11336369929";"8,25632593010959";"null";"null";"""20""";"PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS";"Geral"
"""201225""";"Especialista em materiais de referência metrológica";"1,0";"5394,22281831757";"null";"null";"null";"1";"2570,48686913172";"14,60503902915750";"null";"null";"""20""";"PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS";"Geral"
"""204105""";"Perito criminal";"456,0";"33542,91850415642";"281";"24554.1052384309";"153.463157740193";"428";"34645,43946602175";"216,53399666263596";"-0.267979462330078";"-0.383771929824561";"""20""";"PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS";"Geral"
"""212305""";"Administrador de banco de dados";"300,0";"10308,96880826566";"307";"10306.4802972332";"62.0170472098427";"236";"10311,45731929812";"60,17109783811274";"-0.000241392818111974";"0.0233333333333334";"""21""";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"Geral"
"""212310""";"Administrador de redes";"261,0";"8851,28993188260";"306";"15743.3939232224";"97.3235461246827";"136";"9222,81906147658";"55,13617540911408";"0.778655319662988";"0.172413793103448";"""21""";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"Geral"
"""212315""";"Administrador de sistemas operacionais";"192,5";"10038,88560152813";"348";"15096.1705803754";"95.8092214680315";"155";"10045,90679836260";"62,42388430968963";"0.503769559648873";"0.807792207792208";"""21""";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"Geral"
"""212320""";"Administrador em segurança da informação";"113,0";"9810,46320601990";"203";"9842.61155832693";"60.8993739492893";"10";"10461,19438054308";"64,69509332152602";"0.00327694540328127";"0.79646017699115";"""21""";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"Geral"
"""212405""";"Analista de desenvolvimento de sistemas";"7707,0";"12636,27207534713";"9286";"12879.5885675471";"80.4174643980634";"6610";"12078,66692237237";"72,16774920442222";"0.0192554014941391";"0.204878681717919";"""21""";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"Geral"
"""212410""";"Analista de redes e de comunicação de dados";"4004,0";"23369,81234854682";"4066";"20221.3296479755";"126.608790552167";"4046";"23787,76845385494";"147,94777045356349";"-0.134724346674831";"0.0154845154845156";"""21""";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"Geral"
"""214010""";"Tecnólogo em meio ambiente";"10,0";"5329,68551673661";"7";"5766.9090863425";"34.3416465079369";"3";"22374,18032331540";"139,83862702072133";"0.0820355287817434";"-0.3";"""21""";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"Geral"
"""214120""";"Arquiteto paisagista";"7,5";"9187,60748547845";"8";"10361.5529113332";"63.9368344768263";"3";"14012,55790382119";"79,61680627171157";"0.127774878031117";"0.0666666666666667";"""21""";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"Geral"
"""214270""";"Engenheiro civil (transportes e trânsito)";"140,0";"19873,26691005379";"127";"21587.2437788903";"134.331635368913";"176";"19083,91143328248";"119,19923366037595";"0.0862453504294964";"-0.0928571428571429";"""21""";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"Geral"
"""214280""";"Tecnólogo em construção civil";"4,0";"6851,66844528128";"9";"7813.52841943782";"49.4314737618604";"3";"6066,04626491961";"34,46617195977046";"0.140383321498717";"1.25";"""21""";"PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA";"Geral"
