"cboocupacao2002";"nome_cbo_ocupacao";"cbo_grande_grupo";"cbo_subgrupo_principal";"cbo_subgrupo";"cbo_familia";"nome_cbo_grandegrupo";"nome_cbo_subgrupo_principal";"nome_cbo_subgrupo";"nome_cbo_familia"
"10105";"Oficial general da aeronáutica";"0";"1";"10";"101";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"MEMBROS DAS FORÇAS ARMADAS";"MEMBROS DAS FORÇAS ARMADAS";"Oficiais generais das forças armadas"
"10110";"Oficial general do exército";"0";"1";"10";"101";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"MEMBROS DAS FORÇAS ARMADAS";"MEMBROS DAS FORÇAS ARMADAS";"Oficiais generais das forças armadas"
"10115";"Oficial general da marinha";"0";"1";"10";"101";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"MEMBROS DAS FORÇAS ARMADAS";"MEMBROS DAS FORÇAS ARMADAS";"Oficiais generais das forças armadas"
"10205";"Oficial da aeronáutica";"0";"1";"10";"102";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"MEMBROS DAS FORÇAS ARMADAS";"MEMBROS DAS FORÇAS ARMADAS";"Oficiais das forças armadas"
"10210";"Oficial do exército";"0";"1";"10";"102";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"MEMBROS DAS FORÇAS ARMADAS";"MEMBROS DAS FORÇAS ARMADAS";"Oficiais das forças armadas"
"10215";"Oficial da marinha";"0";"1";"10";"102";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"MEMBROS DAS FORÇAS ARMADAS";"MEMBROS DAS FORÇAS ARMADAS";"Oficiais das forças armadas"
"10305";"Praça da aeronáutica";"0";"1";"10";"103";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"MEMBROS DAS FORÇAS ARMADAS";"MEMBROS DAS FORÇAS ARMADAS";"Praças das forças armadas"
"10310";"Praça do exército";"0";"1";"10";"103";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"MEMBROS DAS FORÇAS ARMADAS";"MEMBROS DAS FORÇAS ARMADAS";"Praças das forças armadas"
"10315";"Praça da marinha";"0";"1";"10";"103";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"MEMBROS DAS FORÇAS ARMADAS";"MEMBROS DAS FORÇAS ARMADAS";"Praças das forças armadas"
"20105";"Coronel da polícia militar";"0";"2";"20";"201";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"POLICIAIS MILITARES";"OFICIAIS DE POLÍCIA MILITAR";"Oficiais superiores da polícia militar"
"20110";"Tenente-coronel da polícia militar";"0";"2";"20";"201";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"POLICIAIS MILITARES";"OFICIAIS DE POLÍCIA MILITAR";"Oficiais superiores da polícia militar"
"20115";"Major da polícia militar";"0";"2";"20";"201";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"POLICIAIS MILITARES";"OFICIAIS DE POLÍCIA MILITAR";"Oficiais superiores da polícia militar"
"20205";"Capitão da polícia militar";"0";"2";"20";"202";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"POLICIAIS MILITARES";"OFICIAIS DE POLÍCIA MILITAR";"Capitães da  polícia militar"
"20305";"Primeiro tenente de polícia militar";"0";"2";"20";"203";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"POLICIAIS MILITARES";"OFICIAIS DE POLÍCIA MILITAR";"Tenentes da polícia militar"
"20310";"Segundo tenente de polícia militar";"0";"2";"20";"203";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"POLICIAIS MILITARES";"OFICIAIS DE POLÍCIA MILITAR";"Tenentes da polícia militar"
"21105";"Subtenente da policia militar";"0";"2";"21";"211";"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES";"POLICIAIS MILITARES";"PRAÇAS DE POLÍCIA MILITAR";"Subtenentes e sargentos da policia militar"
