"cbo_familia";"vinculos_2012";"media_rendimento_2012";"vinculos_2020";"media_rendimento_2020";"vinculos_2021";"media_rendimento_2021";"mediana_vinculos2012_2020";"mediana_rendimento2012_2020";"mediana_vinculos2012_2021";"mediana_rendimento2012_2021";"tipo_cbo";"variacao_rendimento2012_2020";"variacao_vinculos2012_2020";"variacao_rendimento2012_2021";"variacao_vinculos2012_2021";"cbo_grande_grupo";"cbo_subgrupo_principal";"cbo_subgrupo";"nome_cbo_grandegrupo";"nome_cbo_subgrupo_principal";"nome_cbo_subgrupo";"nome_cbo_familia"
"1111";"2";"7699,24222647721";"1";"1259,046093892640";NA;NA;"2,0";"4641,68267879644";"2,0";"4641,68267879644";"geral";"-0,7287522260743806157";"-0,500000000000000000";NA;NA;"1";"11";"111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Legisladores"
"1112";"141";"34107,62765131109";"105";"24553,004414449148";"109";"22763,898776785725";"124,0";"28784,64427215020";"118,0";"28430,05480530889";"geral";"-0,1363715412231905066";"-0,110169491525423768";"-0,1993016217283231084";"-0,076271186440677985";"1";"11";"111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"1113";"584";"43971,78350317078";"265";"34811,761995567300";"684";"37801,193614455471";"661,0";"43971,78350317078";"664,5";"43495,27867389486";"geral";"-0,1996427415359741664";"-0,601203912716328004";"-0,1309127158864920037";"0,029345372460496622";"1";"11";"111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"1114";"31644";"17402,35524069439";"21531";"19511,114915113834";"22510";"19961,567165535002";"26528,0";"18643,49040470342";"26504,0";"18857,04688354614";"geral";"0,0346856024491517534";"-0,187632055538786591";"0,0585733433665387437";"-0,150694234832478124";"1";"11";"111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes do serviço público"
"1115";"235";"13315,41366855554";"1460";"29419,338374321389";"1489";"28555,299658127507";"375,0";"15016,50498715489";"386,5";"15206,71342581093";"geral";"0,9346283151747192264";"2,777490297542044129";"0,8778087584434590696";"2,852522639068563848";"1";"11";"111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Gestores públicos"
"1130";"6";"1615,37963145801";"3";"2132,923280625170";"1";"1548,734932083940";"4,0";"1762,86184217254";"3,5";"1689,12073681528";"geral";"0,2627417532311246973";"-0,142857142857142905";"-0,0831117644059141680";"-0,714285714285714302";"1";"11";"113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"CHEFES DE PEQUENAS POPULAÇÕES";"Dirigentes de povos indígenas, de quilombolas e caiçaras"
"1142";"46";"11285,33143787751";"49";"8336,911995550141";"48";"7297,521388535795";"49,0";"10138,11688502257";"49,0";"9666,68487277672";"geral";"-0,1375624523533895971";"0,000000000000000000";"-0,2450854160885035382";"-0,020408163265306145";"1";"11";"114";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÃO DE INTERESSE PÚBLICO";"Dirigentes e administradores de entidades patronais e dos trabalhadores e de outros interesses sócioeconômicos"
"1143";"5";"2249,68325323243";"18";"11016,063223189349";"17";"11824,768674682371";"9,0";"6303,06401005542";"11,5";"7444,33556096209";"geral";"0,4797913303313872113";"0,565217391304347894";"0,5884249947961990301";"0,478260869565217295";"1";"11";"114";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÃO DE INTERESSE PÚBLICO";"Dirigentes e administradores de entidades religiosas"
"1144";"21";"31467,85047422825";"16";"23370,955127729041";"13";"29875,073431036340";"13,0";"31521,11461964921";"13,0";"31494,48254693873";"geral";"-0,2579349385119298343";"0,230769230769230838";"-0,0514188195817745219";"0,000000000000000000";"1";"11";"114";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÃO DE INTERESSE PÚBLICO";"Dirigentes e administradores de organizações da sociedade civil sem fins lucrativos"
"1210";"386";"37514,60981108026";"218";"27425,350158849171";"239";"27007,970783117387";"342,0";"32837,94801175044";"331,0";"32413,29915407131";"geral";"-0,1538858778772485003";"-0,341389728096676781";"-0,1667626718668957508";"-0,277945619335347449";"1";"12";"121";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"DIRETORES GERAIS";"Diretores gerais"
