"cboocupacao2002";"vinculos_2012";"media_rendimento_2012";"vinculos_2020";"media_rendimento_2020";"vinculos_2021";"media_rendimento_2021";"mediana_vinculos2012_2020";"mediana_rendimento2012_2020";"mediana_vinculos2012_2021";"mediana_rendimento2012_2021";"tipo_cbo";"variacao_rendimento2012_2020";"variacao_vinculos2012_2020";"variacao_rendimento2012_2021";"variacao_vinculos2012_2021";"tipo_emprego";"nome_cbo_ocupacao";"cbo_grande_grupo";"cbo_subgrupo_principal";"cbo_subgrupo";"cbo_familia";"nome_cbo_grandegrupo";"nome_cbo_subgrupo_principal";"nome_cbo_subgrupo";"nome_cbo_familia"
"111105";"2";"7699,242226477215";NA;NA;NA;NA;"2,0";"7699,242226477215";"2,0";"7699,242226477215";"geral";NA;NA;NA;NA;"Estatutário";"Senador";"1";"11";"111";"1111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Legisladores"
"111215";"123";"36725,563923542461";"54";"34928,628424873437";"55";"33480,995286669408";"83,0";"35611,925995512313";"78,0";"35545,643360113179";"geral";"-1,73583842325981e-02";"-3,07692307692308e-01";"-5,80844198690345e-02";"-2,94871794871795e-01";"Estatutário";"Ministro de estado";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111220";"13";"14590,262744173271";"25";"11571,742936940847";"24";"11808,708499946186";"24,0";"12447,170688418511";"24,0";"12156,958042448598";"geral";"-4,81382845498313e-02";"4,16666666666667e-02";"-2,86461087787278e-02";"0,00000000000000e+00";"Estatutário";"Secretário - executivo";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111225";"4";"24579,076841388349";"14";"24060,972580213813";"14";"19766,331607948287";"11,0";"24579,076841388349";"12,5";"24320,024710801081";"geral";"-1,06518037570997e-02";"1,20000000000000e-01";"-1,87240480098295e-01";"1,20000000000000e-01";"Estatutário";"Membro superior do poder executivo";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111305";"11";"56625,387659123160";NA;NA;NA;NA;"12,0";"56527,874508644003";"12,0";"56625,387659123160";"geral";NA;NA;NA;NA;"Estatutário";"Ministro do supremo tribunal federal";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111310";"33";"38559,599338578890";"59";"25290,797996276113";"65";"21900,713085615454";"47,0";"29860,189038276287";"48,5";"29701,587915490225";"geral";"-1,48503505326520e-01";"2,16494845360825e-01";"-2,62641675996265e-01";"3,40206185567010e-01";"Estatutário";"Ministro do superior tribunal de justiça";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111315";"16";"44639,673678574720";"15";"44295,223245389185";"15";"42485,300770550391";"15,0";"44287,484722220164";"15,0";"44227,672780077417";"geral";"1,52733483508527e-03";"0,00000000000000e+00";"-3,93955164268079e-02";"0,00000000000000e+00";"Estatutário";"Ministro do  superior tribunal militar";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111320";"26";"58115,421842470889";"37";"32839,899105767596";"34";"31861,881476802111";"27,0";"56241,599663967121";"30,0";"46839,627388931302";"geral";"-2,98886414422502e-01";"2,33333333333333e-01";"-3,19766546983006e-01";"1,33333333333333e-01";"Estatutário";"Ministro do  superior tribunal do trabalho";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111325";"325";"43988,519648657668";"6";"5418,961095152293";"381";"43833,484931945735";"364,0";"43969,523438001277";"371,0";"43901,504184973506";"geral";"-8,76565480027286e-01";"-9,83827493261456e-01";"-1,54936042148301e-03";"2,69541778975741e-02";"Estatutário";"Juiz de direito";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111330";"38";"35180,810697458248";"6";"18090,062028746957";"42";"12046,024074269764";"41,0";"38108,045590061360";"41,5";"37973,496900617960";"geral";"-5,23613480315199e-01";"-8,55421686746988e-01";"-6,82778120071588e-01";"1,20481927710843e-02";"Estatutário";"Juiz federal";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
