"cboocupacao2002";"vinculos_2012";"media_rendimento_2012";"vinculos_2020";"media_rendimento_2020";"vinculos_2021";"media_rendimento_2021";"mediana_vinculos2012_2020";"mediana_rendimento2012_2020";"mediana_vinculos2012_2021";"mediana_rendimento2012_2021";"tipo_cbo";"variacao_rendimento2012_2020";"variacao_vinculos2012_2020";"variacao_rendimento2012_2021";"variacao_vinculos2012_2021";"nome_cbo_ocupacao";"cbo_grande_grupo";"cbo_subgrupo_principal";"cbo_subgrupo";"cbo_familia";"nome_cbo_grandegrupo";"nome_cbo_subgrupo_principal";"nome_cbo_subgrupo";"nome_cbo_familia"
"111105";"2";"7699,242226477215";"1";"1259,046093892640";NA;NA;"1,5";"4479,144160184927";"1,5";"4479,144160184927";"geral";"-0,7189092271054167149";"-0,333333333333333370";NA;NA;"Senador";"1";"11";"111";"1111";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Legisladores"
"111215";"123";"36725,563923542461";"54";"34928,628424873437";"55";"33480,995286669408";"83,0";"35611,925995512313";"78,0";"35545,643360113179";"geral";"-0,0173583842325980564";"-0,307692307692307709";"-0,0580844198690344538";"-0,294871794871794823";"Ministro de estado";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111220";"14";"13829,630633827701";"37";"9596,376012189221";"40";"9077,039584788770";"25,0";"11589,913544889738";"25,5";"11279,403596352400";"geral";"-0,1492124623244660553";"0,450980392156862697";"-0,1952553601571490605";"0,568627450980392135";"Secretário - executivo";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111225";"4";"24579,076841388349";"14";"24060,972580213813";"14";"19766,331607948287";"11,0";"24579,076841388349";"12,5";"24320,024710801081";"geral";"-0,0106518037570997315";"0,120000000000000107";"-0,1872404800982950812";"0,120000000000000107";"Membro superior do poder executivo";"1";"11";"111";"1112";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Dirigentes gerais da administração pública"
"111305";"11";"56625,387659123160";NA;NA;NA;NA;"12,0";"56527,874508644003";"12,0";"56625,387659123160";"geral";NA;NA;NA;NA;"Ministro do supremo tribunal federal";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111310";"33";"38559,599338578890";"59";"25290,797996276113";"65";"21900,713085615454";"47,0";"29860,189038276287";"48,5";"29701,587915490225";"geral";"-0,1485035053265202354";"0,216494845360824639";"-0,2626416759962652003";"0,340206185567010211";"Ministro do superior tribunal de justiça";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111315";"16";"44639,673678574720";"15";"44295,223245389185";"15";"42485,300770550391";"15,0";"44287,484722220164";"15,0";"44227,672780077417";"geral";"0,0015273348350852700";"0,000000000000000000";"-0,0393955164268079416";"0,000000000000000000";"Ministro do  superior tribunal militar";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111320";"26";"58115,421842470889";"37";"32839,899105767596";"34";"31861,881476802111";"27,0";"56241,599663967121";"30,0";"46839,627388931302";"geral";"-0,2988864144225021890";"0,233333333333333393";"-0,3197665469830058838";"0,133333333333333304";"Ministro do  superior tribunal do trabalho";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111325";"325";"43988,519648657668";"6";"5418,961095152293";"381";"43833,484931945735";"364,0";"43969,523438001277";"371,0";"43901,504184973506";"geral";"-0,8765654800272861813";"-0,983827493261455577";"-0,0015493604214830148";"0,026954177897574150";"Juiz de direito";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
"111330";"38";"35180,810697458248";"6";"18090,062028746957";"42";"12046,024074269764";"41,0";"38108,045590061360";"41,5";"37973,496900617960";"geral";"-0,5236134803151992756";"-0,855421686746987930";"-0,6827781200715877796";"0,012048192771084265";"Juiz federal";"1";"11";"111";"1113";"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO";"Magistrados"
