"tipo_emprego";"ano";"tipo";"filtro";"salario_hora";"salario_mes";"geral"
"Celetista";"2012";"Técnicos de nível médio";"Técnico";"28,52284793116966";"4786,897409107585";"Subgrupo"
"Celetista";"2012";"Técnicos de nível superior";"Técnico";"84,99231252058883";"14006,359917355210";"Subgrupo"
"Celetista";"2013";"Técnicos de nível médio";"Técnico";"32,45342102450154";"5346,106031201273";"Subgrupo"
"Celetista";"2013";"Técnicos de nível superior";"Técnico";"83,29124775566761";"13619,787379021212";"Subgrupo"
"Celetista";"2014";"Técnicos de nível médio";"Técnico";"29,20851582633609";"4839,074406995141";"Subgrupo"
"Celetista";"2014";"Técnicos de nível superior";"Técnico";"79,87540970161335";"13131,614368358147";"Subgrupo"
"Celetista";"2015";"Técnicos de nível médio";"Técnico";"30,79742280761623";"5098,823162934295";"Subgrupo"
"Celetista";"2015";"Técnicos de nível superior";"Técnico";"78,96077397681816";"12942,057297347015";"Subgrupo"
"Celetista";"2016";"Técnicos de nível médio";"Técnico";"31,25540725205144";"5151,972911007904";"Subgrupo"
"Celetista";"2016";"Técnicos de nível superior";"Técnico";"73,20664777192235";"11985,217790041148";"Subgrupo"
"Celetista";"2017";"Técnicos de nível médio";"Técnico";"28,02961320196260";"4625,192793905225";"Subgrupo"
"Celetista";"2017";"Técnicos de nível superior";"Técnico";"66,76420603062388";"10966,064224471151";"Subgrupo"
"Celetista";"2018";"Técnicos de nível médio";"Técnico";"29,58777517322739";"4733,508795948853";"Subgrupo"
"Celetista";"2018";"Técnicos de nível superior";"Técnico";"68,08338838937142";"10893,057522720690";"Subgrupo"
"Celetista";"2019";"Técnicos de nível médio";"Técnico";"25,32654724247287";"4163,447758332392";"Subgrupo"
"Celetista";"2019";"Técnicos de nível superior";"Técnico";"61,77119025475185";"10090,063502012574";"Subgrupo"
"Celetista";"2020";"Técnicos de nível médio";"Técnico";"26,63211391332906";"4356,720431605266";"Subgrupo"
"Celetista";"2020";"Técnicos de nível superior";"Técnico";"64,22221886835618";"10382,014299942499";"Subgrupo"
"Celetista";"2021";"Técnicos de nível médio";"Técnico";"27,48299511695400";"4433,829701293516";"Subgrupo"
"Celetista";"2021";"Técnicos de nível superior";"Técnico";"63,21179235002106";"10225,183908515171";"Subgrupo"
"Estatutário";"2012";"Técnicos de nível médio";"Técnico";"80,61841238821185";"12712,717630431771";"Subgrupo"
"Estatutário";"2012";"Técnicos de nível superior";"Técnico";"179,66045632781419";"28734,711771485283";"Subgrupo"
"Estatutário";"2013";"Técnicos de nível médio";"Técnico";"83,17249800883496";"13109,849561137235";"Subgrupo"
"Estatutário";"2013";"Técnicos de nível superior";"Técnico";"188,56597397628551";"30137,609931599363";"Subgrupo"
"Estatutário";"2014";"Técnicos de nível médio";"Técnico";"82,67599646489151";"13044,821345024169";"Subgrupo"
"Estatutário";"2014";"Técnicos de nível superior";"Técnico";"182,26551682471199";"29142,804075942229";"Subgrupo"
"Estatutário";"2015";"Técnicos de nível médio";"Técnico";"82,28075690962787";"12968,352977138726";"Subgrupo"
"Estatutário";"2015";"Técnicos de nível superior";"Técnico";"180,28139933790357";"28835,606288365507";"Subgrupo"
"Estatutário";"2016";"Técnicos de nível médio";"Técnico";"78,25365312597560";"12330,050497510487";"Subgrupo"
"Estatutário";"2016";"Técnicos de nível superior";"Técnico";"171,95941715626884";"27459,582683521941";"Subgrupo"
"Estatutário";"2017";"Técnicos de nível médio";"Técnico";"77,33231411153645";"12173,221399295346";"Subgrupo"
"Estatutário";"2017";"Técnicos de nível superior";"Técnico";"169,03397495960539";"26988,958534043173";"Subgrupo"
"Estatutário";"2018";"Técnicos de nível médio";"Técnico";"76,88966057425577";"12089,578292324055";"Subgrupo"
"Estatutário";"2018";"Técnicos de nível superior";"Técnico";"184,53066870449825";"29452,093667164710";"Subgrupo"
"Estatutário";"2019";"Técnicos de nível médio";"Técnico";"78,47833854024442";"12345,442098989690";"Subgrupo"
"Estatutário";"2019";"Técnicos de nível superior";"Técnico";"184,11269995686033";"29330,980033142412";"Subgrupo"
"Estatutário";"2020";"Técnicos de nível médio";"Técnico";"77,44254984401066";"12172,691924644094";"Subgrupo"
"Estatutário";"2020";"Técnicos de nível superior";"Técnico";"178,71013588361964";"28514,072803783427";"Subgrupo"
"Estatutário";"2021";"Técnicos de nível médio";"Técnico";"79,05419385861030";"12456,035622299009";"Subgrupo"
"Estatutário";"2021";"Técnicos de nível superior";"Técnico";"166,62781648325230";"26592,044452572372";"Subgrupo"
"Outros";"2012";"Técnicos de nível médio";"Técnico";"42,76784793390551";"6506,676212126699";"Subgrupo"
"Outros";"2012";"Técnicos de nível superior";"Técnico";"96,72812287722122";"16020,922205782534";"Subgrupo"
"Outros";"2013";"Técnicos de nível médio";"Técnico";"43,87935902864552";"6771,776409905991";"Subgrupo"
"Outros";"2013";"Técnicos de nível superior";"Técnico";"141,72485319495593";"23181,659311109470";"Subgrupo"
"Outros";"2014";"Técnicos de nível médio";"Técnico";"34,88319495132558";"5146,348993554438";"Subgrupo"
"Outros";"2014";"Técnicos de nível superior";"Técnico";"123,13913405714104";"19809,696369726600";"Subgrupo"
"Outros";"2015";"Técnicos de nível médio";"Técnico";"34,99901210115019";"5302,897258638751";"Subgrupo"
"Outros";"2015";"Técnicos de nível superior";"Técnico";"97,33300954680432";"15973,553407465773";"Subgrupo"
"Outros";"2016";"Técnicos de nível médio";"Técnico";"26,06118600090053";"4236,949323648416";"Subgrupo"
"Outros";"2016";"Técnicos de nível superior";"Técnico";"94,23557057770138";"15579,996151225550";"Subgrupo"
"Outros";"2017";"Técnicos de nível médio";"Técnico";"32,07130527359214";"5148,334435385198";"Subgrupo"
"Outros";"2017";"Técnicos de nível superior";"Técnico";"70,49772484643515";"11547,050904473404";"Subgrupo"
"Outros";"2018";"Técnicos de nível médio";"Técnico";"25,00032884249761";"4039,903486075205";"Subgrupo"
"Outros";"2018";"Técnicos de nível superior";"Técnico";"91,25047090524365";"14742,414395145013";"Subgrupo"
"Outros";"2019";"Técnicos de nível médio";"Técnico";"21,43202246708880";"3497,331493431078";"Subgrupo"
"Outros";"2019";"Técnicos de nível superior";"Técnico";"34,61630019149151";"5792,729538475124";"Subgrupo"
"Outros";"2020";"Técnicos de nível médio";"Técnico";"16,05801118487449";"2126,237931530504";"Subgrupo"
"Outros";"2020";"Técnicos de nível superior";"Técnico";"61,60048230104480";"10361,064205179542";"Subgrupo"
"Outros";"2021";"Técnicos de nível médio";"Técnico";"18,90058648676073";"2866,881335924016";"Subgrupo"
"Outros";"2021";"Técnicos de nível superior";"Técnico";"114,92984715742303";"18786,512178078792";"Subgrupo"
"Celetista";"2012";"Média dos trabalhadores técnicos";"Técnico";"31,86686301690134";"5332,856573659225";"Geral"
"Celetista";"2013";"Média dos trabalhadores técnicos";"Técnico";"35,83865174447719";"5897,040680985568";"Geral"
"Celetista";"2014";"Média dos trabalhadores técnicos";"Técnico";"32,33836208152120";"5351,329514007123";"Geral"
"Celetista";"2015";"Média dos trabalhadores técnicos";"Técnico";"33,71436810042794";"5573,837553200080";"Geral"
"Celetista";"2016";"Média dos trabalhadores técnicos";"Técnico";"33,84630271453585";"5573,991972464411";"Geral"
"Celetista";"2017";"Média dos trabalhadores técnicos";"Técnico";"30,54652743296958";"5037,212861114191";"Geral"
"Celetista";"2018";"Média dos trabalhadores técnicos";"Técnico";"32,14470644927803";"5142,634446121271";"Geral"
"Celetista";"2019";"Média dos trabalhadores técnicos";"Técnico";"27,85266622702071";"4574,244388695502";"Geral"
"Celetista";"2020";"Média dos trabalhadores técnicos";"Técnico";"29,16527915757390";"4762,759867565718";"Geral"
