"referencia";"cboocupacao2002";"cnae20subclasse";"nome_cbo_ocupacao";"nome_cbo_grandegrupo";"nome_cnae_subclasse";"setor_ibge";"vinculos";"eixo"
"2021";"122610";"1122401";"Diretor de operações de serviços de armazenamento";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Fabricação de refrigerantes";"1 - Indústria";"2";"Geral"
"2021";"122610";"8112500";"Diretor de operações de serviços de armazenamento";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Condomínios prediais";"4 - Serviços";"2";"Geral"
"2021";"123305";"1122401";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Fabricação de refrigerantes";"1 - Indústria";"1";"Geral"
"2021";"123305";"2121101";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Fabricação de medicamentos alopáticos para uso humano";"1 - Indústria";"1";"Geral"
"2021";"123305";"2320600";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Fabricação de cimento";"1 - Indústria";"1";"Geral"
"2021";"123305";"4110700";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Incorporação de empreendimentos imobiliários";"4 - Serviços";"1";"Geral"
"2021";"123305";"4120400";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Construção de edifícios";"2 - Construção Civil";"1";"Geral"
"2021";"123305";"4329103";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes, exceto de fabricação própria";"2 - Construção Civil";"2";"Geral"
"2021";"123305";"4511101";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Comércio a varejo de automóveis, camionetas e utilitários novos";"3 - Comércio";"1";"Geral"
"2021";"123305";"4637101";"Diretor comercial";"1 - MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES";"Comércio atacadista de café torrado, moído e solúvel";"3 - Comércio";"1";"Geral"
